state_id,nation_id,name,abbreviation,population,main_language_id
1648,98,"Kagoshima","KAG",1717330,0
1649,98,"Niigata","NII",2390976,0
1650,98,"Ehime","EHI",1443927,0
1651,98,"Ishikawa","ISH",1167892,0
1652,98,"Tochigi","TOC",2011276,0
1653,98,"Oita","OIT",1200188,0
1654,98,"Nagasaki","NAG",1440207,0
1655,98,"Gifu","GIF",2100375,0
1656,98,"Wakayama","WAK",1011556,0
1657,98,"Nara","NAR",1403686,0
1658,98,"Nagano","NAG",2170691,0
1659,98,"Fukushima","FUK",2052495,0
1660,98,"Kochi","KOC",773436,0
1661,98,"Kagawa","KAG",1002514,0
1662,98,"Toyama","TOY",1101342,0
1663,98,"Akita","AKI",1107828,0
1664,98,"Miyazaki","MIY",1136191,0
1665,98,"Okinawa","OKI",1375993,0
1666,98,"Aomori","AOM",1391834,0
1667,98,"Shiga","SHI",1402032,0
1668,98,"Mie","MIE",1875464,0
1669,98,"Iwate","IWA",1351890,0
1670,98,"Gumma","GUM",2012275,0
1671,98,"Tokushima","TOK",794128,0
1672,98,"Yamagata","YAM",1188229,0
1673,98,"Fukui","FUK",812395,0
1674,98,"Ibaraki","IBA",2963990,0
1675,98,"Yamaguchi","YAM",1463077,0
1676,98,"Yamanashi","YAM",870694,0
1677,98,"Saga","SAG",855832,0
1678,98,"Shimane","SHI",724918,0
1679,98,"Tottori","TOT",595192,0
1680,99,"Amman","AMM",2002941,0
1681,99,"az-Zarqa","AZ-",916147,0
1682,99,"Irbid","IRB",906970,0
1683,99,"al-Aqabah","AL-",110130,0
1684,99,"Madaba","MAD",104838,0
1685,99,"al-Balqa","AL-",286542,0
1686,99,"al-Mafraq","AL-",138727,0
1687,99,"Maan","MAA",69166,0
1688,99,"Jaras","JAR",120589,0
1689,99,"at-Tafilah","AT-",65977,0
1690,99,"al-Karak","AL-",125174,0
1691,99,"Ajlun","AJL",102136,0
1692,100,"Almaty","ALM",1820780,0
1693,100,"Ontustik Kazakhstan","ONT",938400,0
1694,100,"Karaganda","KAR",1211763,0
1695,100,"Jambyl","JAM",639574,0
1696,100,"Akmola","AKM",723618,0
1697,100,"Pavlodar","PAV",615658,0
1698,100,"Sigis Kazakhstan","SIG",988128,0
1699,100,"Aktobe","AKT",440735,0
1700,100,"Kostanay","KOS",748355,0
1701,100,"Batis Kazakstan","BAT",357568,0
1702,100,"Soltustik Kazakhstan","SOL",393436,0
1703,100,"Kyzylorda","KYZ",387674,0
1704,100,"Mangystau","MAN",319872,0
1705,100,"Atyrau","ATY",301752,0
1706,101,"Nairobi","NAI",2750547,0
1707,101,"Coast","COA",1068596,0
1708,101,"Rift Valley","RIF",1019701,0
1709,101,"Nyanza","NYA",463465,0
1710,101,"North Eastern","NOR",149708,0
1711,101,"Kenya","KEN",39549,0
1712,217,"Tarawa South","TAR",48140,0
1713,217,"Abaiang","ABA",3822,0
1714,217,"Tarawa North","TAR",2715,0
